Model,Train_MAE,Train_RMSE,Train_R2,Train_MAPE(%),Val_MAE,Val_RMSE,Val_R2,Val_MAPE(%)
Random Forest,0.010650821540658021,0.016725274586608416,0.9846231293459722,68.92050338081566,0.021580370119865647,0.032725436238320554,0.9416042244975749,150.99937089698395
LightGBM,0.026650510207264867,0.03582740689205828,0.9294410352314563,212.23944746258888,0.02902985021628411,0.04071477684466552,0.9096111920708232,230.41151543392255
XGBoost,0.028699712982652625,0.03901709732142731,0.9163181328153577,212.68132206245323,0.030766140932470716,0.043075426151581796,0.8988258168718171,234.9392871686236
Basic Neural Network,0.038890690466728065,0.05496974184967961,0.8339003019172659,296.8022873009763,0.039026296492162015,0.055982347873772154,0.8291115311665357,309.5118388109138
Gradient Boosting,0.04047799555743021,0.056699497805635046,0.823282372307206,307.81428063580375,0.04036610011222888,0.05706705177339109,0.822425167357795,319.6909651838217
Shallow Neural Network,0.041474834176188725,0.058807247789660906,0.8098995444820756,308.7877965269334,0.04136877237472181,0.0586895217569316,0.8121843911624562,324.96232980936435
Linear Regression,0.046012807539135975,0.06457790520619405,0.7707605517432266,360.7345529794503,0.045493395697879205,0.06373285146216456,0.7785186099732988,366.7109608590828
Ridge Regression,0.046012831023762885,0.06457790524270914,0.7707605514839833,360.73690960755096,0.045493452733922746,0.06373298250027688,0.7785176992174662,366.71345917492164
AdaBoost,0.050413582142527925,0.06466815970683265,0.7701193308790073,486.59465647153183,0.050235767939076324,0.06462560845464409,0.7722702175171445,501.274523019208
SVR (RBF),0.024838986294201313,0.0391707893564407,0.9183860411093218,159.95111119385527,0.048979092919764045,0.07458354366238078,0.6966831275473726,325.0228488956539
